conceptType,conceptUri,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,inScheme,description,code
SkillGroup,http://data.europa.eu/esco/isced-f/020,artes e humanidades sem definição precisa,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,020
SkillGroup,http://data.europa.eu/esco/isced-f/0200,artes e humanidades sem definição precisa,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0200
SkillGroup,http://data.europa.eu/esco/isced-f/021,artes,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,021
SkillGroup,http://data.europa.eu/esco/isced-f/0210,artes sem definição precisa,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0210
SkillGroup,http://data.europa.eu/esco/isced-f/0211,técnicas audiovisuais e produção dos media,,,released,2023-07-11T10:40:32.985Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0211
SkillGroup,http://data.europa.eu/esco/isced-f/0212,"design de moda, de interiores e industrial",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0212
SkillGroup,http://data.europa.eu/esco/isced-f/0213,belas-artes,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0213
SkillGroup,http://data.europa.eu/esco/isced-f/0214,artesanato,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0214
SkillGroup,http://data.europa.eu/esco/isced-f/0215,música e artes do espetáculo,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0215
SkillGroup,http://data.europa.eu/esco/isced-f/0219,programas de artes não classificados noutras áreas,,,released,2023-07-03T12:59:23.746Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0219
SkillGroup,http://data.europa.eu/esco/isced-f/022,humanidades (exceto línguas),,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,022
SkillGroup,http://data.europa.eu/esco/isced-f/0220,humanidades (exceto línguas) sem definição precisa,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0220
SkillGroup,http://data.europa.eu/esco/isced-f/0221,religião e teologia,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0221
SkillGroup,http://data.europa.eu/esco/isced-f/0222,história e arqueologia,,,released,2023-10-27T15:38:51.741Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0222
SkillGroup,http://data.europa.eu/esco/isced-f/0223,filosofia e ética,,,released,2023-07-03T08:51:02.496Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0223
SkillGroup,http://data.europa.eu/esco/isced-f/0228,programas e qualificações interdisciplinares que envolvem humanidades,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0228
SkillGroup,http://data.europa.eu/esco/isced-f/0229,programas de humanidades (exceto línguas) não classificados noutras áreas,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0229
SkillGroup,http://data.europa.eu/esco/isced-f/023,línguas,,,released,2023-07-14T08:12:16.726Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,023
SkillGroup,http://data.europa.eu/esco/isced-f/0230,línguas sem definição precisa,,,released,2023-10-31T16:01:49.771Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0230
SkillGroup,http://data.europa.eu/esco/isced-f/0231,aprendizagem de línguas,,,released,2024-02-15T09:52:45.02Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0231
SkillGroup,http://data.europa.eu/esco/isced-f/0232,literatura e linguística,,,released,2023-10-27T15:35:14.724Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0232
SkillGroup,http://data.europa.eu/esco/isced-f/0239,programas de línguas não classificados noutras áreas,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0239
SkillGroup,http://data.europa.eu/esco/isced-f/028,programas e qualificações interdisciplinares que envolvem as artes e as humanidades,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,028
SkillGroup,http://data.europa.eu/esco/isced-f/0288,programas e qualificações interdisciplinares que envolvem as artes e as humanidades,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0288
SkillGroup,http://data.europa.eu/esco/isced-f/029,programas de artes e humanidades não classificados noutras áreas,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,029
SkillGroup,http://data.europa.eu/esco/isced-f/0299,programas de artes e humanidades não classificados noutras áreas,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0299
SkillGroup,http://data.europa.eu/esco/isced-f/03,"ciências sociais, jornalismo e informação",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,03
SkillGroup,http://data.europa.eu/esco/isced-f/030,"ciências sociais, jornalismo e informação sem definição precisa",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,030
SkillGroup,http://data.europa.eu/esco/isced-f/0300,"ciências sociais, jornalismo e informação sem definição precisa",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0300
SkillGroup,http://data.europa.eu/esco/isced-f/031,ciências sociais e comportamentais,,,released,2023-06-30T10:03:57.744Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,031
SkillGroup,http://data.europa.eu/esco/isced-f/0310,ciências sociais e comportamentais sem definição precisa,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0310
SkillGroup,http://data.europa.eu/esco/isced-f/0311,economia,,,released,2023-07-03T12:57:32.51Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0311
SkillGroup,http://data.europa.eu/esco/isced-f/0312,ciências políticas e cidadania,,,released,2024-01-29T16:20:43.56Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0312
SkillGroup,http://data.europa.eu/esco/isced-f/0313,psicologia,,,released,2023-07-03T12:46:46.382Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0313
SkillGroup,http://data.europa.eu/esco/isced-f/0314,sociologia e estudos culturais,,,released,2023-07-04T12:56:24.33Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0314
SkillGroup,http://data.europa.eu/esco/isced-f/0319,programas de ciências sociais e comportamentais não classificados noutras áreas,,,released,2025-02-19T14:42:49.746Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0319
SkillGroup,http://data.europa.eu/esco/isced-f/032,jornalismo e informação,,,released,2023-07-03T07:24:08.118Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,032
SkillGroup,http://data.europa.eu/esco/isced-f/0320,jornalismo e informação sem definição precisa,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0320
SkillGroup,http://data.europa.eu/esco/isced-f/0321,jornalismo e reportagem,,,released,2023-07-03T07:23:44.668Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0321
SkillGroup,http://data.europa.eu/esco/isced-f/0322,"biblioteconomia, arquivística e ciências da informação",,,released,2023-10-27T15:38:41.87Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0322
SkillGroup,http://data.europa.eu/esco/isced-f/0329,programas de jornalismo e informação não classificados noutras áreas,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0329
SkillGroup,http://data.europa.eu/esco/isced-f/038,"programas e qualificações interdisciplinares que envolvem as ciências sociais, jornalismo e informação",,,released,2023-06-29T13:50:39.809Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,038
SkillGroup,http://data.europa.eu/esco/isced-f/0388,"programas e qualificações interdisciplinares que envolvem as ciências sociais, jornalismo e informação",,,released,2023-07-04T08:43:11.281Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0388
SkillGroup,http://data.europa.eu/esco/isced-f/039,"programas das ciências sociais, jornalismo e informação não classificados noutras áreas",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,039
SkillGroup,http://data.europa.eu/esco/isced-f/0399,"programas das ciências sociais, jornalismo e informação não classificados noutras áreas",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0399
SkillGroup,http://data.europa.eu/esco/isced-f/04,"ciências empresariais, administração e direito",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,04
SkillGroup,http://data.europa.eu/esco/isced-f/040,"ciências empresariais, administração e direito sem definição precisa",,,released,2020-12-10T13:24:05.932Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,040
SkillGroup,http://data.europa.eu/esco/isced-f/0400,"ciências empresariais, administração e direito sem definição precisa",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0400
SkillGroup,http://data.europa.eu/esco/isced-f/041,ciências empresariais e administração,,,released,2023-07-05T08:34:34.635Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,041
SkillGroup,http://data.europa.eu/esco/isced-f/0410,ciências empresariais e administração sem definição precisa,,,released,2023-06-20T14:39:25.865Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0410
SkillGroup,http://data.europa.eu/esco/isced-f/0411,contabilidade e fiscalidade,,,released,2023-02-17T13:32:34.671Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0411
