conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/11d72bd6-779a-4643-9962-313833740094,Cientista ambiental,released,,"Os cientistas ambientais identificam problemas e encontram soluções para minimizar os riscos ambientais através da realização de análises de amostras, nomeadamente do ar, da água ou do solo. Aconselham ou elaboram políticas ambientais e visam melhorar o abastecimento de água e gerir os locais de eliminação de resíduos. Os cientistas ambientais realizam avaliações dos riscos ambientais e analisam o impacto ambiental de novas soluções, dos estaleiros de construção ou das alterações ambientais, assegurando a aplicação da regulamentação ambiental.",http://data.europa.eu/esco/isco/C2133,Especialistas de protecção ambiental
Occupation,http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,Sociólogo/Socióloga,released,Socióloga | Sociólogo,"Os sociólogos concentram a sua investigação na explicação do comportamento social e da forma como os indivíduos se organizaram enquanto sociedade. Investigam e explicam o modo como as sociedades evoluíram, descrevendo os seus sistemas jurídicos, políticos e económicos e as suas expressões culturais.",http://data.europa.eu/esco/isco/C2632,"Sociólogos, antropólogos e especialistas similares"
Occupation,http://data.europa.eu/esco/occupation/1738173e-ef9c-4222-88c8-b6aa9bad3cf7,Biofisico/Biofísica,released,Biofisico | Biofisica,"Os biofísicos estudam a relação existente entre os organismos vivos e a física. Realizam investigação sobre os organismos vivos com base nos métodos da física que visam explicar a complexidade da vida, prever padrões e formular conclusões sobre aspetos da vida. Os campos de investigação da biofísica abrangem o ADN, as proteínas, as moléculas, as células e os ambientes.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,Biólogo/Bióloga
Occupation,http://data.europa.eu/esco/occupation/19db5ad1-ffbf-41a0-8746-d3878f0d5dbd,Estudioso dos meios de comunicação/Estudiosa dos meios de comunicação,released,Estudiosa dos meios de comunicação | Estudioso dos meios de comunicação,"Os estudiosos dos meios de comunicação investigam o papel e o impacto que os meios de comunicação têm na sociedade. Observam e documentam a utilização de diferentes tipos de meios de comunicação, como os jornais, a rádio e a televisão, e a resposta da sociedade.",http://data.europa.eu/esco/occupation/acf69cab-8629-45c8-ae10-c8fb15f474b6,Antropólogo/Antropóloga
Occupation,http://data.europa.eu/esco/occupation/1bbaf82c-67ae-4beb-9a55-7298acf5b2af,Professor de ciências de enfermagem/Professora de ciências de enfermagem,released,Professor universitário de Ciências de Enfermagem | Professora de Ciências de Enfermagem | Professora universitária de Ciências de Enfermagem | Professor de Ciências de Enfermagem,"Os professores de ciências de enfermagem são professores universitários ou docentes em geral e, frequentemente, médicos que lecionam a alunos com um diploma do ensino secundário o seu próprio domínio de estudos especializado, a Enfermagem, que é predominantemente de natureza académica. Trabalham com os seus assistentes de investigação universitária e professores assistentes universitários na preparação de aulas e exames, na classificação de estudos e exames, na condução de práticas de laboratório e na realização de sessões de informação e de feedback para os alunos. Realizam também investigação académica no respetivo domínio da Enfermagem, publicam as suas conclusões e mantêm contactos com os seus colegas académicos.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Professor universitário/Professora universitária
Occupation,http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,Meteorologista,released,Investigadora em meteorologia | Investigador em meteorologia,"Os meteorologistas estudam os processos climáticos, medem e preveem padrões meteorológicos e prestam serviços de consultoria a uma grande variedade de utilizadores de informação meteorológica. Criam modelos de previsão meteorológica, desenvolvem instrumentos de recolha de dados meteorológicos e elaboram estatísticas e bases de dados.",http://data.europa.eu/esco/isco/C2112,Meteorologistas
Occupation,http://data.europa.eu/esco/occupation/2026adb2-62d7-4b92-9ccb-105abdebe37d,Engenheiro especialista em eletromagnetismo/Engenheira especialista em eletromagnestismo,released,Engenheira especialista em sistemas eletromagnéticos | Engenheiro especialista em sistemas eletromagnéticos | Engenheira de eletromagnética | Engenheiro especialista em eletromagnetismo | Engenheiro especialista em EMC | Engenheira especialista em eletromagnetismo | Engenheiro de eletromagnética | Engenheira especialista em EMC,"Os engenheiros especialistas em eletromagnetismo concebem e desenvolvem sistemas, dispositivos e componentes eletromagnéticos, como por exemplo eletroímanes em altifalantes, fechaduras eletromagnéticas, ímanes condutores em IRM e ímanes em motores elétricos.",http://data.europa.eu/esco/occupation/86ca306c-ab99-420a-9e2a-aa73c5c4de22,Engenheiro elétrico/Engenheira elétrica
Occupation,http://data.europa.eu/esco/occupation/203ea2ee-bbee-4aaf-83d7-2f2225f916e3,Arqueólogo/Arqueóloga,released,Arqueólogo | Arqueólogo marinho | Arqueóloga | Arqueóloga marinha,"Os arqueólogos investigam e estudam as civilizações e as povoações do passado através da recolha e da inspeção dos restos materiais. Analisam e retiram conclusões sobre um vasto leque de domínios, como os sistemas hierárquicos, a linguística, a cultura e a política, com base no estudo de objetos, estruturas, fósseis, vestígios e artefactos deixados por estes povos. Os arqueólogos utilizam vários métodos interdisciplinares, como a estratigrafia, a tipologia, a análise 3D, a matemática e a modelação.",http://data.europa.eu/esco/isco/C2632,"Sociólogos, antropólogos e especialistas similares"
Occupation,http://data.europa.eu/esco/occupation/25829508-63f3-41c3-affc-ddbb5c077930,Fisiologista,released,Anatomista | Fisiólogo | Fisióloga,"Os fisiologistas estudam e realizam investigação sobre o funcionamento dos diferentes organismos vivos, as partes que os compõem e as suas interações. Compreendem a forma como os sistemas vivos reagem a fatores como as doenças, a atividade física e o stress, e utilizam essas informações para desenvolver métodos e soluções para eliminar o efeito desses estímulos nos organismos vivos.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,Biólogo/Bióloga
Occupation,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,Cientista de dados,released,Investigadora de dados | Investigador de dados | Cientista de investigação de dados,"Os cientistas de dados pesquisam e interpretam fontes de dados enriquecidos, gerem grandes quantidades de dados, procedem à fusão de fontes de dados, asseguram a consistência dos conjuntos de dados e criam visualizações para ajudar na compreensão dos dados. Constroem modelos matemáticos utilizando os dados, apresentam e comunicam informações e conclusões relativas aos dados aos especialistas e cientistas da sua equipa e, se necessário, a um público não especializado, e recomendam formas de aplicar os dados.",http://data.europa.eu/esco/isco/C2511,Analistas de sistemas
Occupation,http://data.europa.eu/esco/occupation/30058b71-fe16-45ea-a2b8-d5461c706372,Professor de Ciências Empresariais/Professora de Ciências Empresariais,released,Professora de Ciências Empresariais | Professora universitária de Ciências Empresariais | Professor universitário de Ciências Empresariais | Professor de Ciências Empresariais,"Os professores de Ciências Empresariais são professores universitários ou docentes em geral que lecionam a alunos com um diploma do ensino secundário o seu próprio domínio de estudos especializado, as Ciências Empresariais, que é predominantemente de natureza académica. Prestam assistência ao professor do curso específico pelo quais são responsáveis na preparação de aulas e exames, na classificação de estudos e exames e na realização de sessões de informação e de feedback para os alunos. Realizam também investigação académica no respetivo domínio das Ciências Empresariais, publicam as suas conclusões e mantêm contactos com os seus colegas académicos.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Professor universitário/Professora universitária
Occupation,http://data.europa.eu/esco/occupation/306e9867-cf55-446f-88c6-8adad5369f8c,Professor de Ciências Naturais/Professora de Ciências Naturais,released,Professor de Geologia | Professora de Geografia | Professor de Geociências | Professora de Geociências | Professor universitário de Ciências Naturais | Professora de Geologia | Professor de Geografia | Professora de Ciências Naturais | Professora universitára de Ciências Naturais | Professor de Ciências Naturais,"Os professores de Ciências Naturais são professores universitários ou docentes em geral que lecionam a alunos com um diploma do ensino secundário o seu próprio domínio de estudos especializado, as Ciências Naturais, que é predominantemente de natureza académica. Trabalham com os seus assistentes de investigação universitária e professores assistentes universitários na preparação de aulas e exames, na classificação de estudos e exames e na realização de sessões de informação e de feedback para os alunos. Realizam também investigação académica no respetivo domínio das Ciências Naturais, publicam as suas conclusões e mantêm contactos com os seus colegas académicos.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Professor universitário/Professora universitária
Occupation,http://data.europa.eu/esco/occupation/35d41f4f-334b-452e-9e31-99f376302493,Engenheiro especialista em sistemas optoeletrónicos/Engenheira especialista em sistemas optoeletrónicos,released,Engenheiro especialista em sistemas optoeletrónicos | Engenheira especialista em sistemas optoeletrónicos,"Os engenheiros especialistas em sistemas optoeletrónicos concebem e desenvolvem sistemas e dispositivos optoeletrónicos, como sensores UV, fotodíodos e LED. A engenharia optoeletrónica combina a engenharia ótica com a engenharia eletrónica na conceção desses sistemas e dispositivos. Realizam atividades de investigação, realizam análises, testam os dispositivos e supervisionam a investigação.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,Engenheiro eletrónico/Engenheira eletrónica
Occupation,http://data.europa.eu/esco/occupation/3af4d6be-90b5-41f6-be06-3330dab3df73,Investigador em estudos sociais/Investigadora em estudos sociais,released,Investigador em estudos sociais | Investigadora em estudos sociais,"Os investigadores em estudos sociais gerem projetos de investigação com vista a investigarem e produzirem relatórios sobre questões sociais. A primeira etapa do seu trabalho de investigação consiste na recolha de informações através de entrevistas, grupos de discussão e questionários, seguindo-se a organização e a análise das informações recolhidas utilizando pacotes de «software» informático. Analisam os problemas e as necessidades sociais e as diferentes formas e técnicas para lhes dar resposta.",http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,Sociólogo/Socióloga
Occupation,http://data.europa.eu/esco/occupation/3c305542-a51b-4b96-8d45-af11ca05eaa2,Professor de Medicina Veterinária/Professora de Medicina Veterinária,released,Professor de Medicina Veterinária | Professora de Medicina Veterinária,"Os professores de Medicina Veterinária são professores universitários ou docentes em geral e, frequentemente, médicos que lecionam a alunos com um diploma do ensino secundário o seu próprio domínio de estudos especializado, a Medicina Veterinária, que é predominantemente de natureza académica. Trabalham com os seus assistentes de investigação universitária e professores assistentes universitários na preparação de aulas e exames, na classificação de estudos e exames, na condução de práticas de laboratório e na realização de sessões de informação e de feedback para os alunos. Realizam também investigação académica no respetivo domínio da Medicina Veterinária, publicam as suas conclusões e mantêm contactos com os seus colegas académicos.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Professor universitário/Professora universitária
Occupation,http://data.europa.eu/esco/occupation/3d7a1284-824c-47d9-8387-b8e1cd5888b5,Professor de Ciências Dentárias/Professora de Ciências Dentárias,released,Professora de Ciências Dentárias | Professor de Ciências Dentárias | Professora universitária  de Ciências Dentárias | Professor universitário de Ciências Dentárias,"Os professores em Ciências Dentárias são professores universitários ou docentes em geral e, frequentemente, médicos que lecionam a alunos com um diploma do ensino secundário o seu próprio domínio de estudos especializado, as Ciências Dentárias, que é predominantemente de natureza académica. Trabalham com os seus assistentes de investigação universitária e professores assistentes universitários na preparação de aulas e exames, na classificação de estudos e exames, na condução de práticas de laboratório e na realização de sessões de informação e de feedback para os alunos. Realizam também investigação académica no respetivo domínio das Ciências Dentárias, publicam as suas conclusões e mantêm contactos com os seus colegas académicos.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Professor universitário/Professora universitária
Occupation,http://data.europa.eu/esco/occupation/3dbd758c-6dc0-41fe-8248-2250c9bfa4ab,Climatologista,released,Investigadora em ciência do clima | Cientista climático | Investigadora em climatologia | Climatólogo | Investigador em climatologia | Investigador em ciência do clima | Climatóloga | Cientista climática,"Os climatologistas estudam a evolução média das condições meteorológicas e climáticas numa perspetiva de longo prazo. Investigam e analisam o historial das condições meteorológicas a fim de prever as tendências da evolução das condições climáticas, nomeadamente a evolução da temperatura, o aquecimento global ou as condições meteorológicas regionais evolutivas. Utilizam essas conclusões para prestar aconselhamento sobre política ambiental, construção, projetos agrícolas e questões societais.",http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,Meteorologista
Occupation,http://data.europa.eu/esco/occupation/3f7b7ce5-94b6-4e0c-98e7-a4ee5a6accf4,Toxicologista,released,Toxicólogo | Toxicóloga,"Os toxicologistas estudam os efeitos que as substâncias químicas ou os agentes biológicos e físicos têm nos organismos vivos, mais especificamente no ambiente e na saúde humana e animal. Determinam as doses de exposição a substâncias que conduzem a efeitos tóxicos em ambientes, pessoas e organismos vivos, e realizam experiências em animais e culturas de células.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,Biólogo/Bióloga
