conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c9e96450-421d-48af-9ee6-d9c50e29afc2,técnicas de recuperação de informação,released,knowledge,sector-specific,,"As técnicas de recuperação de componentes e dados de hardware ou de software após falha, corrupção ou dano.",http://data.europa.eu/esco/isced-f/0613,desenvolvimento e análise de software e aplicações informáticas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ca71c597-51c2-4ead-a7b0-b108bce89caf,computação cognitiva,released,knowledge,sector-specific,tecnologia de computação cognitiva,"Domínio interdisciplinar entre a ciência cognitiva e a informática, que envolve a simulação de processos de pensamento humano através de uma abordagem informatizada. Utiliza algoritmos para a mineração de dados e o processamento de linguagem natural para imitar o funcionamento do cérebro humano.
  ",http://data.europa.eu/esco/isced-f/0688,programas e qualificações interdisciplinares que envolvem as tecnologias da informação e da comunicação (tic)
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ca73ac82-867a-4afa-9732-834aebe896ff,requisitos do utilizador dos sistemas informáticos,released,knowledge,sector-specific,,"O processo destinado a adequar as necessidades dos utilizadores e das organizações aos componentes e serviços do sistema, tendo em conta as tecnologias disponíveis e as técnicas necessárias para obter e especificar requisitos, interrogar os utilizadores a fim de estabelecer os sintomas do problema e analisar os sintomas.",http://data.europa.eu/esco/isced-f/0613,desenvolvimento e análise de software e aplicações informáticas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ca8fae74-46ff-4e1b-94ef-ce22393e02e7,transcrever textos,released,skill/competence,occupation-specific,,"Utilizar dispositivos de entrada, tais como o rato, teclado e scanner, para transcrever textos para um computador.",http://data.europa.eu/esco/skill/9bdf8a77-8524-43da-bac6-d15d22e1b7ed,introduzir e transformar informações
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cae4c053-05d1-413d-8499-f37793aad56e,software de edição áudio,released,knowledge,cross-sector,,"O diverso software para edição e produção de som, como o Adobe Audition, o Sound Forge e o Power Sound Editor.",http://data.europa.eu/esco/isced-f/0611,informática na ótica do utilizador
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cb5cccc9-abe4-4b11-abe6-d27e5cd85fb1,gerir normas de intercâmbio de dados,released,skill/competence,sector-specific,,Proceder à definição e manutenção de normas para a transformação de dados provenientes de esquemas de fontes na estrutura de dados necessária de um esquema de resultados.,http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c,desenvolver políticas e procedimentos operacionais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cb886ee9-c4e4-4d3b-9961-228e9f283a69,utilizar equipamento ultrassónico,released,skill/competence,occupation-specific,,Utilizar técnicas e equipamento ultrassónicos para descobrir defeitos em materiais sólidos.,http://data.europa.eu/esco/skill/7ca69606-5ffc-4668-ae53-713c1f1612e6,operar equipamento científico e de laboratório
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cbe2c304-1e7d-489a-97d9-a7d3e37a9db6,aplicar a teoria dos sistemas informáticos,released,skill/competence,sector-specific,,Aplicar os princípios da teoria dos sistemas informáticos para explicar e documentar as características do sistema que podem ser aplicadas universalmente a outros sistemas.,http://data.europa.eu/esco/skill/f839b1da-78b6-4466-86f4-a5798821ea20,instalar sistemas informáticos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cbeb1221-10ed-4676-a2a1-576718977001,operar processadores de sinal áudio,released,skill/competence,cross-sector,,Operar processadores de sinal áudio para alterar os sinais auditivos.,http://data.europa.eu/esco/skill/bcc0db5f-c1e8-4f08-b68b-020396ef07b9 | http://data.europa.eu/esco/skill/8ddcb295-707e-459c-ba6a-66ffb37835c5,utilizar software de reprodução de som | operar equipamento audiovisual
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cc608319-716f-4940-b80d-79e76d8a2cad,equipamento de projeção,released,knowledge,occupation-specific,,"Os diferentes tipos de equipamento de projeção, as suas propriedades e utilizações.",http://data.europa.eu/esco/isced-f/0211,técnicas audiovisuais e produção dos media
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cc716f65-a0d0-4fba-95d9-64c358f697c0,monitorizar investigação em TIC,released,skill/competence,sector-specific,,Inquirir e investigar sobre as tendências recentes e da evolução da investigação em TIC. Observar e antecipar a evolução do domínio.,http://data.europa.eu/esco/skill/e2a5e046-3357-493e-bbdc-8d0ef82005cc | http://data.europa.eu/esco/skill/7a17d7ce-01a2-4746-bbcc-22ffe22fa16e,monitorizar os desenvolvimentos no domínio de especialização | monitorizar a evolução tecnológica
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cc7370dd-69fa-4c67-a96f-d4d135d38700,avaliação da qualidade dos dados,released,knowledge,sector-specific,,"O processo de revelação de problemas relativos a dados utilizando indicadores, medidas e métricas de qualidade, a fim de planear a depuração dos dados e estratégias de enriquecimento dos dados, de acordo com os critérios de qualidade dos dados.",http://data.europa.eu/esco/isced-f/0417 | http://data.europa.eu/esco/skill/c7cc6dc5-d56b-4323-8e5c-47c4022f615f,competências laborais | metodologias de garantia de qualidade
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,Python (programação informática),released,knowledge,sector-specific,Python3000 | Python 3k | Pyston | Python3 | Python prog | Py3K | Python2,"As técnicas e os princípios de desenvolvimento de software, tais como a análise, os algoritmos, a codificação, o ensaio e a compilação de paradigmas de programação em Python.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,programação informática | desenvolvimento e análise de software e aplicações informáticas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,sistemas de TIC empresarial,released,knowledge,sector-specific,informática para empresas | sistemas de TI para empresas | sistemas de TIC empresariais | sistemas informáticos empresariais | sistemas de tecnologias de informação para empresas | sistemas de tecnologias de informação e comunicação empresarial,"Os pacotes de software, os dispositivos de hardware e as novas tecnologias utilizados no apoio a processos empresariais, como o planeamento de recursos empresariais (ERP), a gestão das relações com os clientes (CRM), os dispositivos móveis e as soluções de rede.",http://data.europa.eu/esco/isced-f/0611,informática na ótica do utilizador
