conceptType,conceptUri,code,preferredLabel,greenShare
Occupation,http://data.europa.eu/esco/occupation/b3e459a2-0103-4182-8882-c255d474a7ff,2631.2.4,Analista de política fiscal,0.0
Occupation,http://data.europa.eu/esco/occupation/99492920-e5a5-4dba-9e5a-93193147198c,2631.2,Economista,0.0240963855421686
ISCO level 4,http://data.europa.eu/esco/isco/C2631,2631,Economistas,0.014036694967313967
Occupation,http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442,2632.1.1,Especialista em ciências da comunicação,0.0
Occupation,http://data.europa.eu/esco/occupation/19db5ad1-ffbf-41a0-8746-d3878f0d5dbd,2632.1.2,Estudioso dos meios de comunicação/Estudiosa dos meios de comunicação,0.0
Occupation,http://data.europa.eu/esco/occupation/acf69cab-8629-45c8-ae10-c8fb15f474b6,2632.1,Antropólogo/Antropóloga,0.0
Occupation,http://data.europa.eu/esco/occupation/203ea2ee-bbee-4aaf-83d7-2f2225f916e3,2632.2,Arqueólogo/Arqueóloga,0.0253164556962025
Occupation,http://data.europa.eu/esco/occupation/441a5b76-2f51-4704-9df7-3b8e715dd3ad,2632.3,Especialista em ciências comportamentais,0.0131578947368421
Occupation,http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,2632.4,Criminólogo/Criminóloga,0.0
Occupation,http://data.europa.eu/esco/occupation/bac64fa2-dcd6-47bb-8e5c-04e04a86a199,2632.5,Geógrafo/Geógrafa,0.0821917808219178
Occupation,http://data.europa.eu/esco/occupation/3af4d6be-90b5-41f6-be06-3330dab3df73,2632.6.1,Investigador em estudos sociais/Investigadora em estudos sociais,0.0
Occupation,http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,2632.6,Sociólogo/Socióloga,0.0123456790123456
Occupation,http://data.europa.eu/esco/occupation/9851c83c-5670-4da0-964a-1ef0e682e30b,2632.7,Investigador em tanatologia/Investigadora em tanatologia,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C2632,2632,"Sociólogos, antropólogos e especialistas similares",0.013301181026730802
Occupation,http://data.europa.eu/esco/occupation/5f45a1ea-4d1b-43c3-b6a8-53b2276b3eb3,2633.1.1,Genealogista,0.0
Occupation,http://data.europa.eu/esco/occupation/0cd729a6-ed11-4338-ac4b-d4b924390128,2633.1,Historiador/Historiadora,0.0135135135135135
Occupation,http://data.europa.eu/esco/occupation/bfc92738-128b-44f5-92d4-51b10df17961,2633.2,Filósofo/Filósofa,0.0
Occupation,http://data.europa.eu/esco/occupation/4f89b0d2-b666-4890-af01-25d1d60da1f3,2633.3,Politólogo/Politóloga,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C2633,2633,"Filósofos, historiadores e especialistas das ciências políticas",0.003378378378378375
Occupation,http://data.europa.eu/esco/occupation/7d9e2a65-758c-4cbd-b66d-3a595d3d63b1,2634.1,Operador de polígrafo/Operadora de polígrafo,0.0
Occupation,http://data.europa.eu/esco/occupation/c3c8c56c-b3ab-4425-a38a-abcace020d22,2634.2.1,Psicólogo clínico/Psicóloga clínica,0.0
Occupation,http://data.europa.eu/esco/occupation/4f5bc9a5-e989-409b-bfb5-973b472163cd,2634.2.2,Psicólogo educacional/Psicóloga educacional,0.0
Occupation,http://data.europa.eu/esco/occupation/976c7f50-7f9e-4347-bbb9-f0dc842046a3,2634.2.3,Psicólogo da saúde/Psicóloga da saúde,0.0
Occupation,http://data.europa.eu/esco/occupation/af69484e-b43f-4685-b22d-f3418df45c4d,2634.2.4,Psicoterapeuta,0.00970873786407766
Occupation,http://data.europa.eu/esco/occupation/52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,2634.2,Psicólogo/Psicóloga,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C2634,2634,Psicólogos,0.0016181229773462767
Occupation,http://data.europa.eu/esco/occupation/f7f8c077-26ec-455f-8311-aeafbc24d9a5,2635.1.1,Conselheiro do luto/Conselheira do luto,0.0
Occupation,http://data.europa.eu/esco/occupation/5d758e75-a116-485a-b800-5db08ffd3ba1,2635.1.2,Conselheiro em abuso de drogas e álcool/Conselheira em abuso de drogas e álcool,0.0
Occupation,http://data.europa.eu/esco/occupation/83dc2d94-9e30-493a-bd93-6346e05fe146,2635.1.3,Conselheiro familiar/Conselheira familiar,0.0
Occupation,http://data.europa.eu/esco/occupation/9cda1c7c-ba07-4381-b831-1bb346ff865f,2635.1.4,Conselheiro matrimonial/Conselheira matrimonial,0.0
Occupation,http://data.europa.eu/esco/occupation/b9dd2ee7-5fea-46f8-b226-ddae9501f728,2635.1.5,Conselheiro em violência sexual/Conselheira em violência sexual,0.0
Occupation,http://data.europa.eu/esco/occupation/5727b567-993d-4d41-a13d-81a6af1a9a8e,2635.1,Psicólogo social/Psicóloga social,0.0
Occupation,http://data.europa.eu/esco/occupation/fa4a3b52-990c-44eb-a912-490f5d689400,2635.2,Pedagogo social/Pedagoga social,0.0
Occupation,http://data.europa.eu/esco/occupation/4c40c1e8-0584-4a77-8ca3-ec82538f9488,2635.3.1,Assistente social especialista em prestações familiares,0.0
Occupation,http://data.europa.eu/esco/occupation/0d423a2e-6fb7-4704-8544-bd6c522b3c62,2635.3.2,Assistente social especialista em cuidados à infância,0.0
Occupation,http://data.europa.eu/esco/occupation/6a167ceb-f847-4ef0-af47-89454c53770b,2635.3.3,Assistente social em clínicas sociais,0.0
Occupation,http://data.europa.eu/esco/occupation/85482504-c83d-4038-80d9-265198d18b48,2635.3.4,Assistente social de apoio domiciliário,0.0
Occupation,http://data.europa.eu/esco/occupation/ff2c1183-3fd7-40c7-8ddc-b20b100363c3,2635.3.5,Assistente social em áreas desfavorecidas,0.0
