conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5af49836-2269-46d9-87b9-0d3140c6c22e,integrar e reelaborar conteúdos digitais,released,skill/competence,cross-sector,,"Modificar, aprimorar, melhorar e integrar informações e conteúdos num acervo de conhecimentos já existente, a fim de criar conteúdos e conhecimentos novos, originais e relevantes.
",http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,criação de conteúdos digitais | utilizar ferramentas digitais para colaboração e produtividade
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5fd5c985-eaaa-47aa-8314-62359c54505a,desenvolver conteúdos digitais,released,skill/competence,cross-sector,,"Criar e editar conteúdos digitais em diferentes formatos, expressar-se através de meios digitais.",http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,criação de conteúdos digitais | utilizar ferramentas digitais para colaboração e produtividade
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a,tratamento de dados digitais,released,,,,"Identificar, localizar, recuperar, armazenar, organizar e analisar informações digitais, avaliar a sua pertinência e finalidade.",http://data.europa.eu/esco/skill/4d6a48ae-352e-4823-bc3a-3f3e9e2cae86,aceder a dados digitais e analisá-los
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,resolução de problemas com a ajuda de ferramentas e equipamentos TIC,released,,,,"Identificar as necessidades e os recursos digitais, tomar decisões informadas sobre as ferramentas digitais mais adequadas, em função do objetivo ou da necessidade, resolver problemas conceptuais através de meios digitais, utilizar de forma criativa as tecnologias, resolver problemas técnicos, atualizar a sua própria competência e outras competências.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,utilizar ferramentas digitais para colaboração e produtividade
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a12057b4-6d11-4a12-ab8e-15a028ef0a6d,interagir através das tecnologias digitais,released,skill/competence,cross-sector,,Interagir através de uma série de tecnologias digitais e compreender os meios de comunicação digital adequados para um determinado contexto.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,comunicação e colaboração digitais | utilizar ferramentas digitais para colaboração e produtividade
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a91732ce-988e-4105-9570-f425c6ffdc82,regime de propriedade intelectual dos conteúdos digitais,released,knowledge,cross-sector,,"Disposições em matéria de direitos de autor e de licenças aplicáveis aos dados, informações e conteúdos digitais.
  ",http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/isced-f/0211,criação de conteúdos digitais | técnicas audiovisuais e produção dos media
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bc0b0b5d-f6be-405a-b224-b6902a4dbe97,gerir identidades digitais,released,skill/competence,cross-sector,,"Criar e gerir uma ou várias identidades digitais, ser capaz de proteger a sua própria reputação, tratar os dados produzidos em várias ferramentas, ambientes e serviços digitais.",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,comunicação e colaboração digitais | trabalhar com dispositivos e aplicações digitais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c4ba12d1-4698-42fa-8abb-789462ea2586,proteger o ambiente do impacto das tecnologias digitais,released,skill/competence,occupation-specific,,Estar ciente do impacto ambiental das tecnologias digitais e da sua utilização.,http://data.europa.eu/esco/skill/2aaad52d-599e-4e77-a681-bbc236825821 | http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,avaliar o impacto ambiental do comportamento pessoal | segurança TIC | garantir a conformidade com as leis e normas de proteção ambiental
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d1ed5b3a-cab5-4c5d-baf8-0214998b58fb,proteger a saúde e o bem-estar durante o uso das tecnologias digitais,released,skill/competence,cross-sector,,"Ser capaz de evitar riscos para a saúde e ameaças ao bem-estar físico e psicológico durante o uso das tecnologias digitais. Ser capaz de proteger a própria pessoa e outras pessoas contra os possíveis perigos em ambientes digitais (por exemplo, a ciberperseguição). Utilizar as tecnologias digitais em prol do bem-estar social e da inclusão social.",http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/5bcec244-3efe-45ac-8891-0ab4a91e9c48,segurança TIC | garantir a conformidade com procedimentos de saúde e segurança
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/df329d70-87b0-466b-a214-3431f36e2a5e,instalar mecanismos de segurança em aparelhos de TIC,released,skill/competence,cross-sector,,"Proteger dispositivos e conteúdos digitais e compreender os riscos e ameaças existentes em ambientes digitais. Conhecer as medidas de segurança e proteção e ter em devida consideração a fiabilidade e a privacidade. Utilizar ferramentas e métodos que maximizem a segurança de aparelhos e informações de TIC através de métodos de controlo de acesso, como senhas, assinaturas digitais, dados biométricos, bem como de sistemas de proteção, como firewall, antivírus e filtros de spam.",http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,segurança TIC | proteger dispositivos de tic
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e439742d-558d-4f52-885e-afdc740b48cf,"pesquisar, procurar e filtrar dados, informações e conteúdos digitais",released,skill/competence,cross-sector,,"Articular as necessidades de informação, procurar dados, informações e conteúdos em ambientes digitais, aceder aos mesmos e navegar entre eles. Criar e atualizar estratégias de pesquisa pessoal.",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/258fea29-09db-4918-8235-0d7d529cd31c,"tratamento de dados digitais | navegar, pesquisar e filtrar dados digitais"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,criação de conteúdos digitais,released,,,criação de conteúdos com software TIC,"Criar e editar novos conteúdos (do processamento de texto a imagens e vídeos); integrar e reelaborar conhecimentos e conteúdos anteriores; produzir expressões criativas, produções e programação dos meios de comunicação social; lidar com e aplicar direitos de propriedade intelectual e licenças.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,utilizar ferramentas digitais para colaboração e produtividade
